# Interactor 1 uniprot id	Interactor 1 Ensembl gene id	Interactor 1 Entrez Gene id	Interactor 2 uniprot id	Interactor 2 Ensembl gene id	Interactor 2 Entrez Gene id	Interaction type	Interaction context	Pubmed references
uniprotkb:O43315	ENSEMBL:ENSG00000103569	EntrezGene:366	uniprotkb:O43315	ENSEMBL:ENSG00000103569	EntrezGene:366	complex	R-HSA-432249	17239399
uniprotkb:O60911	ENSEMBL:ENSG00000136943	EntrezGene:1515	uniprotkb:Q9UIV8	ENSEMBL:ENSG00000197641	EntrezGene:5275	reaction	R-HSA-8938108	12809493|12504904
uniprotkb:P53350	ENSEMBL:ENSG00000166851	EntrezGene:5347	uniprotkb:O95235	ENSEMBL:ENSG00000112984	EntrezGene:10112	reaction	R-HSA-156723	12939256
uniprotkb:Q9Y5Y0	ENSEMBL:ENSG00000162769	EntrezGene:28982	ChEBI:17627	-	-	reaction	R-HSA-917892	15369674|18815190
reactome:R-HSA-976776	-	-	ChEBI:18085	-	-	complex	R-HSA-977084	-
uniprotkb:P62805	ENSEMBL:ENSG00000158406|ENSEMBL:ENSG00000197061|ENSEMBL:ENSG00000197238|ENSEMBL:ENSG00000197837|ENSEMBL:ENSG00000270276|ENSEMBL:ENSG00000270882|ENSEMBL:ENSG00000273542|ENSEMBL:ENSG00000274618|ENSEMBL:ENSG00000275126|ENSEMBL:ENSG00000276180|ENSEMBL:ENSG00000276966|ENSEMBL:ENSG00000277157|ENSEMBL:ENSG00000278637|ENSEMBL:ENSG00000278705	EntrezGene:121504|EntrezGene:554313|EntrezGene:8294|EntrezGene:8359|EntrezGene:8360|EntrezGene:8361|EntrezGene:8362|EntrezGene:8363|EntrezGene:8364|EntrezGene:8365|EntrezGene:8366|EntrezGene:8367|EntrezGene:8368|EntrezGene:8370	ChEBI:15351	-	-	reaction	R-HSA-3301345	-
uniprotkb:O75581	ENSEMBL:ENSG00000070018|ENSEMBL:ENSG00000281324	EntrezGene:4040	uniprotkb:Q9BQB4	ENSEMBL:ENSG00000167941	EntrezGene:50964	complex	R-HSA-3769334	-
uniprotkb:Q9UBK2	ENSEMBL:ENSG00000109819	EntrezGene:10891	uniprotkb:Q16656	ENSEMBL:ENSG00000106459	EntrezGene:4899	complex	R-HSA-2466376	15684387|18343819|11340167|10412986
uniprotkb:O75151	ENSEMBL:ENSG00000197724	EntrezGene:5253	uniprotkb:Q14865	ENSEMBL:ENSG00000150347	EntrezGene:84159	complex	R-HSA-5423056	-
reactome:R-HSA-399838	-	-	uniprotkb:O75051	ENSEMBL:ENSG00000076356	EntrezGene:5362	complex	R-HSA-399854	-
uniprotkb:P51153	ENSEMBL:ENSG00000143545	EntrezGene:5872	reactome:R-HSA-1445137	-	-	reaction	R-HSA-1445143	15971998
reactome:R-HSA-1671734	-	-	uniprotkb:P01241	ENSEMBL:ENSG00000259384	EntrezGene:2688	complex	R-HSA-976956	-
reactome:R-HSA-77056	-	-	uniprotkb:O43148	ENSEMBL:ENSG00000101654	EntrezGene:8731	reaction	R-HSA-77073	24354960
uniprotkb:Q9H8V3	ENSEMBL:ENSG00000114346	EntrezGene:1894	reactome:R-HSA-194915	-	-	reaction	R-HSA-194913	12101119|7478592|8969170|10559246|9857026|8276860|16212495|9308960|7954831|8810315
uniprotkb:Q15404	ENSEMBL:ENSG00000148484	EntrezGene:6251	uniprotkb:P48059	ENSEMBL:ENSG00000169756	EntrezGene:3987	reaction	R-HSA-430311	18436335
uniprotkb:Q7L1I2	ENSEMBL:ENSG00000185518	EntrezGene:9899	ChEBI:60913	-	-	reaction	R-HSA-5244503	19118561|18815274|19650874
uniprotkb:Q13107	ENSEMBL:ENSG00000114316	EntrezGene:7375	reactome:R-HSA-8869451	-	-	reaction	R-HSA-8869456	22029577
reactome:R-HSA-416289	-	-	uniprotkb:Q9Y3R0	ENSEMBL:ENSG00000155974	EntrezGene:23426	reaction	R-HSA-416985	16055064
reactome:R-HSA-194043	-	-	uniprotkb:Q15653	ENSEMBL:ENSG00000104825|ENSEMBL:ENSG00000282905	EntrezGene:4793	complex	R-HSA-1168590	-
uniprotkb:Q9BYE7	ENSEMBL:ENSG00000156374	EntrezGene:84108	uniprotkb:Q8IY57	ENSEMBL:ENSG00000015153	EntrezGene:10138	complex	R-HSA-9007266	12004135|12004135|12004135|12004135|12004135|12004135|12004135|12004135|12004135|12004135|12004135|12004135
uniprotkb:Q658P3	ENSEMBL:ENSG00000115107	EntrezGene:55240	uniprotkb:O60238	ENSEMBL:ENSG00000104765	EntrezGene:665	complex	R-HSA-6801198	25080938|12606722
uniprotkb:P42224-1	ENSEMBL:ENSG00000115415	EntrezGene:6772	uniprotkb:P52630	ENSEMBL:ENSG00000170581	EntrezGene:6773	complex	R-HSA-909702	-
ChEBI:36144	-	-	uniprotkb:O15379	ENSEMBL:ENSG00000171720	EntrezGene:8841	reaction	R-HSA-1368069	18037887|15761026|18006707|20581824
reactome:R-HSA-190599	-	-	uniprotkb:Q9NYZ3	ENSEMBL:ENSG00000075218	EntrezGene:51512	complex	R-HSA-8852286	23236459
reactome:R-HSA-156786	-	-	reactome:R-HSA-140799	-	-	reaction	R-HSA-140791	12907439
reactome:R-HSA-196152	-	-	reactome:R-HSA-196154	-	-	complex	R-HSA-196167	-
reactome:R-HSA-165678	-	-	uniprotkb:Q96B36	ENSEMBL:ENSG00000204673	EntrezGene:84335	complex	R-HSA-5672831	-
uniprotkb:Q13501	ENSEMBL:ENSG00000161011	EntrezGene:8878	uniprotkb:Q9Y4K3	ENSEMBL:ENSG00000175104	EntrezGene:7189	complex	R-HSA-209542	-
reactome:R-HSA-114598	-	-	uniprotkb:P07948	ENSEMBL:ENSG00000254087	EntrezGene:4067	complex	R-HSA-434820	-
reactome:R-HSA-1852605	-	-	reactome:R-HSA-1911475	-	-	reaction	R-HSA-1912364	20080834
reactome:R-HSA-3928532	-	-	reactome:R-HSA-445010	-	-	reaction	R-HSA-3928628	12973357
uniprotkb:Q8WV24	ENSEMBL:ENSG00000139289	EntrezGene:22822	uniprotkb:O14965	ENSEMBL:ENSG00000087586	EntrezGene:6790	reaction	R-HSA-8853429	21807936
reactome:R-HSA-434350	-	-	uniprotkb:Q14671	ENSEMBL:ENSG00000134644	EntrezGene:9698	complex	R-HSA-434351	-
uniprotkb:Q06187	ENSEMBL:ENSG00000010671	EntrezGene:695	uniprotkb:P52735	ENSEMBL:ENSG00000160293	EntrezGene:7410	complex	R-HSA-2685675	-
uniprotkb:P29275	ENSEMBL:ENSG00000170425	EntrezGene:136	ChEBI:16335	-	-	complex	R-HSA-418926	-
uniprotkb:Q15465	ENSEMBL:ENSG00000164690	EntrezGene:6469	uniprotkb:Q96QV1	ENSEMBL:ENSG00000164161	EntrezGene:64399	complex	R-HSA-445447	-
reactome:R-HSA-399704	-	-	reactome:R-HSA-420974	-	-	reaction	R-HSA-399711	17409242
reactome:R-HSA-70999	-	-	ChEBI:15465	-	-	reaction	R-HSA-71010	15523652|2567699|16281286|16866376|12438653|20876572|21138732
ChEBI:47037	-	-	uniprotkb:Q9UJV9	ENSEMBL:ENSG00000183258	EntrezGene:51428	complex	R-HSA-9013866	23142775
reactome:R-HSA-182946	-	-	uniprotkb:Q9UBC2	ENSEMBL:ENSG00000127527	EntrezGene:58513	complex	R-HSA-8867034	-
reactome:R-HSA-198911	-	-	uniprotkb:P43627	ENSEMBL:ENSG00000275407|ENSEMBL:ENSG00000275546|ENSEMBL:ENSG00000275914|ENSEMBL:ENSG00000276011|ENSEMBL:ENSG00000276731|ENSEMBL:ENSG00000278731	EntrezGene:3803	complex	R-HSA-198909	-
uniprotkb:P52735	ENSEMBL:ENSG00000160293	EntrezGene:7410	uniprotkb:Q06187	ENSEMBL:ENSG00000010671	EntrezGene:695	complex	R-HSA-2424461	-
reactome:R-FLU-192720	-	-	reactome:R-FLU-192703	-	-	reaction	R-HSA-168280	6269803|6261960|8107213|11296240
reactome:R-HSA-6784822	-	-	reactome:R-HSA-2130671	-	-	complex	R-HSA-6784728	-
reactome:R-HSA-1045152	-	-	uniprotkb:P15391	ENSEMBL:ENSG00000177455	EntrezGene:930	complex	R-HSA-2076233	10706702|15187135|7528218
uniprotkb:O75077	ENSEMBL:ENSG00000114948	EntrezGene:8745	uniprotkb:Q8N135	ENSEMBL:ENSG00000153902	EntrezGene:163175	reaction	R-HSA-5682709	20220021|18974846
uniprotkb:Q9UBL6	ENSEMBL:ENSG00000178773	EntrezGene:27132	ChEBI:16247	-	-	complex	R-HSA-5333679	-
reactome:R-HSA-507927	-	-	reactome:R-HSA-1252007	-	-	complex	R-HSA-1254284	-
uniprotkb:O14763	ENSEMBL:ENSG00000120889	EntrezGene:8795	uniprotkb:P50591	ENSEMBL:ENSG00000121858	EntrezGene:8743	reaction	R-HSA-75238	9311998|9082980|8777713
reactome:R-HSA-109783	-	-	reactome:R-HSA-2028645	-	-	complex	R-HSA-5675430	-
uniprotkb:P13497	ENSEMBL:ENSG00000168487	EntrezGene:649	reactome:R-HSA-216001	-	-	reaction	R-HSA-1566979	-
uniprotkb:O43521	ENSEMBL:ENSG00000153094	EntrezGene:10018	uniprotkb:O43521	ENSEMBL:ENSG00000153094	EntrezGene:10018	complex	R-HSA-6802688	-
reactome:R-HSA-109844	-	-	uniprotkb:Q15121	ENSEMBL:ENSG00000162734	EntrezGene:8682	complex	R-HSA-5675205	-
uniprotkb:P61163	ENSEMBL:ENSG00000138107	EntrezGene:10121	uniprotkb:P61163	ENSEMBL:ENSG00000138107	EntrezGene:10121	complex	R-HSA-8982309	15738427|15473859
reactome:R-HSA-390587	-	-	uniprotkb:P19429	ENSEMBL:ENSG00000129991	EntrezGene:7137	complex	R-HSA-390585	-
uniprotkb:Q8IUQ4	ENSEMBL:ENSG00000196470	EntrezGene:6477	uniprotkb:O14933	ENSEMBL:ENSG00000156587	EntrezGene:9246	complex	R-HSA-5660743	-
uniprotkb:Q9Y6N7	ENSEMBL:ENSG00000169855	EntrezGene:6091	ChEBI:60924	-	-	complex	R-HSA-9014813	20375348
reactome:R-HSA-110338	-	-	reactome:R-HSA-5649637	-	-	complex	R-HSA-110343	-
uniprotkb:O43252	ENSEMBL:ENSG00000138801	EntrezGene:9061	uniprotkb:O43252	ENSEMBL:ENSG00000138801	EntrezGene:9061	complex	R-HSA-6802696	-
uniprotkb:Q8TBE1	ENSEMBL:ENSG00000143786	EntrezGene:149111	uniprotkb:P42261	ENSEMBL:ENSG00000155511	EntrezGene:2890	complex	R-HSA-5694269	-
uniprotkb:P32004	ENSEMBL:ENSG00000198910	EntrezGene:3897	uniprotkb:Q96S59	ENSEMBL:ENSG00000010017	EntrezGene:10048	reaction	R-HSA-374673	16000162
uniprotkb:P59665	ENSEMBL:ENSG00000206047|ENSEMBL:ENSG00000240247	EntrezGene:1667|EntrezGene:728358	uniprotkb:P59665	ENSEMBL:ENSG00000206047|ENSEMBL:ENSG00000240247	EntrezGene:1667|EntrezGene:728358	complex	R-HSA-1462050	-
uniprotkb:Q92781	ENSEMBL:ENSG00000135437	EntrezGene:5959	reactome:R-HSA-2454078	-	-	reaction	R-HSA-2454081	8884265|10617778
reactome:R-CBO-5228951	-	-	ChEBI:60913	-	-	complex	R-HSA-5244509	2116911
uniprotkb:Q03431	ENSEMBL:ENSG00000160801	EntrezGene:5745	uniprotkb:P12272	ENSEMBL:ENSG00000087494	EntrezGene:5744	reaction	R-HSA-420489	7797535|8082781|8770894|8386612|12098667|12559132|3616618|6950381|8732687|8397094
reactome:R-HSA-68440	-	-	reactome:R-HSA-68450	-	-	complex	R-HSA-174440	-
uniprotkb:Q8N5V2	ENSEMBL:ENSG00000066248	EntrezGene:25791	reactome:R-HSA-419164	-	-	reaction	R-HSA-419166	16212495|12101119|9308960
ChEBI:16755	-	-	uniprotkb:Q96RI1	ENSEMBL:ENSG00000012504	EntrezGene:9971	complex	R-HSA-5340274	-
reactome:R-HSA-388778	-	-	uniprotkb:P42081	ENSEMBL:ENSG00000114013	EntrezGene:942	complex	R-HSA-388777	-
uniprotkb:Q92783	ENSEMBL:ENSG00000136738	EntrezGene:8027	uniprotkb:O14964	ENSEMBL:ENSG00000185359	EntrezGene:9146	complex	R-HSA-917726	-
uniprotkb:P50225	ENSEMBL:ENSG00000196502	EntrezGene:6817	uniprotkb:P50225	ENSEMBL:ENSG00000196502	EntrezGene:6817	complex	R-HSA-158473	-
reactome:R-HSA-190599	-	-	ChEBI:29985	-	-	reaction	R-HSA-8955869	15890843|17360631
reactome:R-HSA-532595	-	-	ChEBI:15355	-	-	reaction	R-HSA-629596	19059502
uniprotkb:P29460	ENSEMBL:ENSG00000113302	EntrezGene:3593	uniprotkb:P29460	ENSEMBL:ENSG00000113302	EntrezGene:3593	complex	R-HSA-8950291	11054122
reactome:R-HSA-6814177	-	-	reactome:R-HSA-6814760	-	-	complex	R-HSA-6814759	-
uniprotkb:Q99570	ENSEMBL:ENSG00000196455	EntrezGene:30849	uniprotkb:Q6ZNE5	ENSEMBL:ENSG00000126775	EntrezGene:22863	complex	R-HSA-5683379	-
reactome:R-HSA-354130	-	-	ChEBI:29108	-	-	complex	R-HSA-354137	-
uniprotkb:Q02218	ENSEMBL:ENSG00000105953	EntrezGene:4967	ChEBI:18290	-	-	complex	R-HSA-69982	2188967|9727038|2188967|9727038
reactome:R-HSA-203463	-	-	uniprotkb:P01730	ENSEMBL:ENSG00000010610	EntrezGene:920	complex	R-HSA-202266	-
uniprotkb:P35222	ENSEMBL:ENSG00000168036	EntrezGene:1499	uniprotkb:P19022	ENSEMBL:ENSG00000170558	EntrezGene:1000	complex	R-HSA-448876	-
reactome:R-HSA-1214169	-	-	reactome:R-HSA-209680	-	-	complex	R-HSA-5617453	7501971|22879880|17851529
reactome:R-HSA-451911	-	-	reactome:R-HSA-450065	-	-	complex	R-HSA-450080	-
uniprotkb:O60493	ENSEMBL:ENSG00000112335	EntrezGene:8724	uniprotkb:Q14694	ENSEMBL:ENSG00000103194	EntrezGene:9100	complex	R-HSA-6782988	-
reactome:R-HSA-186769	-	-	reactome:R-HSA-380761	-	-	complex	R-HSA-186811	-
reactome:R-HSA-156786	-	-	reactome:R-ALL-9015346	-	-	complex	R-HSA-9015343	-
uniprotkb:P16112	-	-	ChEBI:16336	-	-	complex	R-HSA-2318621	-
reactome:R-HSA-8935726	-	-	reactome:R-HSA-8936978	-	-	complex	R-HSA-8937024	22777353
reactome:R-HSA-2888959	-	-	uniprotkb:Q9H9S0	ENSEMBL:ENSG00000111704	EntrezGene:79923	complex	R-HSA-2888998	17567999|20505756|16153702|19829295
uniprotkb:Q9H9G7	ENSEMBL:ENSG00000126070	EntrezGene:192669	reactome:R-HSA-8938481	-	-	complex	R-HSA-8938482	17589498|17589498|17589498
uniprotkb:P01308	ENSEMBL:ENSG00000254647	EntrezGene:3630	uniprotkb:P01308	ENSEMBL:ENSG00000254647	EntrezGene:3630	complex	R-HSA-429352	-
uniprotkb:P63027	ENSEMBL:ENSG00000220205	EntrezGene:6844	uniprotkb:Q13492	ENSEMBL:ENSG00000073921	EntrezGene:8301	complex	R-HSA-8867601	-
uniprotkb:Q8TEY7	ENSEMBL:ENSG00000077254	EntrezGene:23032	uniprotkb:P07550	ENSEMBL:ENSG00000169252	EntrezGene:154	complex	R-HSA-6783195	-
reactome:R-HSA-5656464	-	-	reactome:R-HSA-5657616	-	-	reaction	R-HSA-112118	12486230
uniprotkb:Q14289	ENSEMBL:ENSG00000120899	EntrezGene:2185	uniprotkb:P13232	ENSEMBL:ENSG00000104432	EntrezGene:3574	complex	R-HSA-8982932	10702271
reactome:R-HSA-6814533	-	-	reactome:R-HSA-6814536	-	-	complex	R-HSA-6814534	25675981|22231121|24997600|22137580|23932780
uniprotkb:P41146	ENSEMBL:ENSG00000125510	EntrezGene:4987	uniprotkb:Q13519	ENSEMBL:ENSG00000168081	EntrezGene:5368	reaction	R-HSA-374723	9521323
uniprotkb:P04628	ENSEMBL:ENSG00000125084	EntrezGene:7471	uniprotkb:Q14332	ENSEMBL:ENSG00000180340	EntrezGene:2535	complex	R-HSA-1458876	-
uniprotkb:Q05940	ENSEMBL:ENSG00000165646	EntrezGene:6571	uniprotkb:P63027	ENSEMBL:ENSG00000220205	EntrezGene:6844	complex	R-HSA-380575	-
reactome:R-HSA-449983	-	-	uniprotkb:Q14289	ENSEMBL:ENSG00000120899	EntrezGene:2185	complex	R-HSA-8982932	10702271
reactome:R-HSA-190599	-	-	ChEBI:57305	-	-	reaction	R-HSA-8867370	19524510|18331838|19531357
reactome:R-HSA-68653	-	-	reactome:R-HSA-8961921	-	-	complex	R-HSA-8961924	7929342|7623816|15510213
uniprotkb:Q53HL2	ENSEMBL:ENSG00000134690	EntrezGene:55143	uniprotkb:Q96GD4	ENSEMBL:ENSG00000178999	EntrezGene:9212	complex	R-HSA-377879	15085137|15085137|15085137|15085137|15085137|15085137
reactome:R-HSA-5334143	-	-	reactome:R-HSA-5334137	-	-	complex	R-HSA-5334119	-
ChEBI:29108	-	-	uniprotkb:P0DP23	ENSEMBL:ENSG00000198668	EntrezGene:801|EntrezGene:805|EntrezGene:808	complex	R-HSA-194447	-
uniprotkb:Q13459	ENSEMBL:ENSG00000099331	EntrezGene:4650	reactome:R-HSA-5665993	-	-	reaction	R-HSA-8985594	11207612|26529257|9490638
reactome:R-HSA-380759	-	-	uniprotkb:P19174	ENSEMBL:ENSG00000124181	EntrezGene:5335	complex	R-HSA-186795	-
uniprotkb:P84022	ENSEMBL:ENSG00000166949	EntrezGene:4088	uniprotkb:Q969W9	ENSEMBL:ENSG00000124225	EntrezGene:56937	reaction	R-HSA-2187358	20129061
reactome:R-HSA-2213179	-	-	reactome:R-HSA-2213217	-	-	complex	R-HSA-2213227	-
reactome:R-ALL-3132775	-	-	uniprotkb:P20061	ENSEMBL:ENSG00000134827	EntrezGene:6947	reaction	R-HSA-3132759	2777761
reactome:R-HSA-2395437	-	-	uniprotkb:P06241	ENSEMBL:ENSG00000010810	EntrezGene:2534	complex	R-HSA-2395423	-
uniprotkb:Q9NRK6	ENSEMBL:ENSG00000135776	EntrezGene:23456	uniprotkb:Q9NRK6	ENSEMBL:ENSG00000135776	EntrezGene:23456	complex	R-HSA-1368989	-
reactome:R-HSA-8937100	-	-	reactome:R-HSA-8935779	-	-	complex	R-HSA-8937133	19114653
uniprotkb:O15382	ENSEMBL:ENSG00000105552	EntrezGene:587	uniprotkb:O15382	ENSEMBL:ENSG00000105552	EntrezGene:587	complex	R-HSA-70704	12269802|11264579
reactome:R-HSA-1248703	-	-	uniprotkb:Q62077	-	EntrezGene:18803	complex	R-NUL-1251931	-
reactome:R-HSA-182964	-	-	reactome:R-HSA-5654184	-	-	complex	R-HSA-5654286	11997436
uniprotkb:Q9NZC7	ENSEMBL:ENSG00000186153	EntrezGene:51741	uniprotkb:Q92754	ENSEMBL:ENSG00000087510	EntrezGene:7022	reaction	R-HSA-8864569	15548692
uniprotkb:O00206	ENSEMBL:ENSG00000136869	EntrezGene:7099	uniprotkb:Q9Y2C9	ENSEMBL:ENSG00000174130	EntrezGene:10333	complex	R-HSA-8869699	20037584|20037584
reactome:R-HSA-5684808	-	-	uniprotkb:Q86YL7	ENSEMBL:ENSG00000162493	EntrezGene:10630	complex	R-HSA-5684816	-
uniprotkb:Q8IZH2	ENSEMBL:ENSG00000114127	EntrezGene:54464	reactome:R-HSA-429996	-	-	reaction	R-HSA-429845	17245413|11283721|19239894|16299471|15475613|12515382|16141059|14749774
uniprotkb:P17252	ENSEMBL:ENSG00000154229	EntrezGene:5578	ChEBI:29108	-	-	reaction	R-HSA-5218813	16861033
reactome:R-HSA-5651997	-	-	uniprotkb:Q9Y253	ENSEMBL:ENSG00000170734	EntrezGene:5429	complex	R-HSA-5654981	-
uniprotkb:Q04206	ENSEMBL:ENSG00000173039	EntrezGene:5970	uniprotkb:P19838	ENSEMBL:ENSG00000109320	EntrezGene:4790	complex	R-HSA-206842	-
reactome:R-HSA-879365	-	-	uniprotkb:P28482	ENSEMBL:ENSG00000100030	EntrezGene:5594	complex	R-HSA-879427	-
reactome:R-HSA-3928496	-	-	uniprotkb:P52799	ENSEMBL:ENSG00000125266	EntrezGene:1948	complex	R-HSA-3928492	-
reactome:R-HSA-3247737	-	-	uniprotkb:O60493	ENSEMBL:ENSG00000112335	EntrezGene:8724	complex	R-HSA-3247842	-
reactome:R-HSA-5672685	-	-	uniprotkb:P28482	ENSEMBL:ENSG00000100030	EntrezGene:5594	complex	R-HSA-6802662	-
uniprotkb:Q96RP3	ENSEMBL:ENSG00000145040	EntrezGene:90226	uniprotkb:Q13324-2	ENSEMBL:ENSG00000106113	EntrezGene:1395	reaction	R-HSA-8937631	20966082
uniprotkb:P0C0L5	ENSEMBL:ENSG00000224389|ENSEMBL:ENSG00000228267|ENSEMBL:ENSG00000228454|ENSEMBL:ENSG00000233312|ENSEMBL:ENSG00000236625	EntrezGene:100293534|EntrezGene:721	uniprotkb:P0C0L5	ENSEMBL:ENSG00000224389|ENSEMBL:ENSG00000228267|ENSEMBL:ENSG00000228454|ENSEMBL:ENSG00000233312|ENSEMBL:ENSG00000236625	EntrezGene:100293534|EntrezGene:721	complex	R-HSA-2855048	-
reactome:R-HSA-5621160	-	-	uniprotkb:P16885	ENSEMBL:ENSG00000197943	EntrezGene:5336	complex	R-HSA-5621157	-
reactome:R-HSA-6808839	-	-	uniprotkb:P13987	ENSEMBL:ENSG00000085063	EntrezGene:966	complex	R-HSA-6808894	-
reactome:R-HSA-8875328	-	-	uniprotkb:P50395	ENSEMBL:ENSG00000057608	EntrezGene:2665	complex	R-HSA-8875313	-
uniprotkb:P12931-1	ENSEMBL:ENSG00000197122	EntrezGene:6714	uniprotkb:P04049	ENSEMBL:ENSG00000132155	EntrezGene:5894	reaction	R-HSA-443439	7517401
reactome:R-HSA-3215159	-	-	uniprotkb:O95251	ENSEMBL:ENSG00000136504	EntrezGene:11143	complex	R-HSA-3321873	-
uniprotkb:P48551-2	ENSEMBL:ENSG00000159110	EntrezGene:3455	uniprotkb:Q9UMW8	ENSEMBL:ENSG00000184979	EntrezGene:11274	complex	R-HSA-912690	-
uniprotkb:P02647	ENSEMBL:ENSG00000118137	EntrezGene:335	ChEBI:17002	-	-	complex	R-HSA-2247486	16968945
uniprotkb:Q13976	ENSEMBL:ENSG00000185532	EntrezGene:5592	uniprotkb:Q13976	ENSEMBL:ENSG00000185532	EntrezGene:5592	complex	R-HSA-4551458	-
uniprotkb:P10586	ENSEMBL:ENSG00000142949	EntrezGene:5792	uniprotkb:Q6PJG9	ENSEMBL:ENSG00000173621	EntrezGene:78999	complex	R-HSA-8855645	-
uniprotkb:O00574	ENSEMBL:ENSG00000172215	EntrezGene:10663	uniprotkb:Q9H2A7	ENSEMBL:ENSG00000161921	EntrezGene:58191	reaction	R-HSA-373358	11060282|9166430
uniprotkb:P53667	ENSEMBL:ENSG00000106683	EntrezGene:3984	uniprotkb:O08665	-	EntrezGene:20346	complex	R-NUL-421114	-
reactome:R-HSA-976110	-	-	uniprotkb:Q86VP6	ENSEMBL:ENSG00000111530	EntrezGene:55832	complex	R-HSA-8955224	-
uniprotkb:Q9Y6I4	ENSEMBL:ENSG00000140455	EntrezGene:9960	reactome:R-HSA-6782792	-	-	reaction	R-HSA-5690080	17980597
uniprotkb:P25147	-	-	uniprotkb:P08581	ENSEMBL:ENSG00000105976	EntrezGene:4233	complex	R-HSA-8876228	16113677
uniprotkb:P08912	ENSEMBL:ENSG00000184984	EntrezGene:1133	ChEBI:15355	-	-	reaction	R-HSA-390649	8925880|3272174|3443095
uniprotkb:P54646	ENSEMBL:ENSG00000162409	EntrezGene:5563	uniprotkb:Q9UGI9	ENSEMBL:ENSG00000115592	EntrezGene:53632	complex	R-HSA-380934	18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468|18692468
uniprotkb:P04233	ENSEMBL:ENSG00000019582	EntrezGene:972	uniprotkb:P04233	ENSEMBL:ENSG00000019582	EntrezGene:972	complex	R-HSA-2130584	-
ChEBI:18035	-	-	uniprotkb:Q05655	ENSEMBL:ENSG00000163932	EntrezGene:5580	reaction	R-HSA-5607734	7499357|12473183|15105418
reactome:R-HSA-5656093	-	-	reactome:R-HSA-110279	-	-	complex	R-HSA-5656097	-
reactome:R-HSA-1963593	-	-	uniprotkb:P29353	ENSEMBL:ENSG00000160691	EntrezGene:6464	complex	R-HSA-1250194	-
reactome:R-HSA-1456464	-	-	uniprotkb:P40855	ENSEMBL:ENSG00000162735	EntrezGene:5824	complex	R-HSA-382586	-
uniprotkb:Q04864	ENSEMBL:ENSG00000162924	EntrezGene:5966	uniprotkb:P19838	ENSEMBL:ENSG00000109320	EntrezGene:4790	complex	R-HSA-1168586	-
reactome:R-HSA-375094	-	-	reactome:R-HSA-448880	-	-	complex	R-HSA-375091	-
reactome:R-HSA-6802627	-	-	reactome:R-HSA-6802656	-	-	complex	R-HSA-6802666	-
reactome:R-HSA-1225828	-	-	uniprotkb:P00533	ENSEMBL:ENSG00000146648	EntrezGene:1956	complex	R-HSA-1220581	-
uniprotkb:Q9HC23	ENSEMBL:ENSG00000163421	EntrezGene:60675	uniprotkb:Q8NFJ6	ENSEMBL:ENSG00000101292	EntrezGene:128674	reaction	R-HSA-444691	12427552
reactome:R-HSA-201711	-	-	reactome:R-HSA-1638143	-	-	reaction	R-HSA-2529020	17066080|14607834
reactome:R-HSA-1221657	-	-	uniprotkb:P01133	ENSEMBL:ENSG00000138798	EntrezGene:1950	complex	R-HSA-1220580	-
reactome:R-HSA-2564665	-	-	reactome:R-HSA-2214333	-	-	complex	R-HSA-4084523	-
uniprotkb:O95684	ENSEMBL:ENSG00000213066	EntrezGene:11116	uniprotkb:O95684	ENSEMBL:ENSG00000213066	EntrezGene:11116	complex	R-HSA-1838997	-
reactome:R-HSA-2993798	-	-	ChEBI:15956	-	-	reaction	R-HSA-3323184	11735028|7842009|12124727|11185745|10190325|22123817|9630604|8817339|20153287
reactome:R-HSA-3299554	-	-	uniprotkb:P98170	ENSEMBL:ENSG00000101966	EntrezGene:331	complex	R-HSA-3322390	-
uniprotkb:Q9UKW4	ENSEMBL:ENSG00000134215	EntrezGene:10451	reactome:R-HSA-419164	-	-	reaction	R-HSA-419166	16212495|12101119|9308960
uniprotkb:Q9BQB6	ENSEMBL:ENSG00000167397	EntrezGene:79001	uniprotkb:Q9BQB6	ENSEMBL:ENSG00000167397	EntrezGene:79001	complex	R-HSA-6806371	23918929
reactome:R-HSA-508241	-	-	uniprotkb:P06241	ENSEMBL:ENSG00000010810	EntrezGene:2534	reaction	R-HSA-879917	9590251|9259313|8995358|7537740
uniprotkb:P11362	ENSEMBL:ENSG00000077782	EntrezGene:2260	uniprotkb:P11362	ENSEMBL:ENSG00000077782	EntrezGene:2260	complex	R-HSA-2023419	-
reactome:R-HSA-3857334	-	-	reactome:R-HSA-194047	-	-	complex	R-HSA-3857324	-
uniprotkb:Q08775-5	-	EntrezGene:12393	uniprotkb:Q13951	ENSEMBL:ENSG00000067955	EntrezGene:865	complex	R-NUL-8939979	23389849
uniprotkb:O14763	ENSEMBL:ENSG00000120889	EntrezGene:8795	uniprotkb:P50591	ENSEMBL:ENSG00000121858	EntrezGene:8743	complex	R-HSA-5637465	9311998|9082980|8777713|10894160|20852190|12721308|17327223|11717445|12198154|10894160|20852190|12721308|17327223|11717445|12198154
reactome:R-HSA-74693	-	-	uniprotkb:P35568	ENSEMBL:ENSG00000169047	EntrezGene:3667	complex	R-HSA-198344	-
